OBD_No,OBD_Date,Goods_Issue_Time,Pick_Time,Pick_Date
10525272,03-04-2022,0 days 12:30:00,0 days 12:45:00,04-04-2022
10527303,12-06-2024,0 days 15:45:00,0 days 17:15:00,14-06-2024
10532310,13-03-2023,0 days 12:45:00,0 days 17:30:00,14-03-2023
10533881,10-11-2022,0 days 12:00:00,0 days 10:00:00,12-11-2022
10545908,21-12-2023,0 days 11:15:00,0 days 15:15:00,22-12-2023
10551617,04-04-2023,0 days 09:00:00,0 days 16:45:00,06-04-2023
10553491,04-01-2022,0 days 14:30:00,0 days 12:30:00,04-01-2022
10570202,26-07-2023,0 days 10:15:00,0 days 11:00:00,26-07-2023
10571318,09-06-2022,0 days 09:45:00,0 days 09:45:00,11-06-2022
10571999,17-07-2023,0 days 13:15:00,0 days 09:30:00,19-07-2023
10572829,05-06-2023,0 days 14:15:00,0 days 00:00:00,
10573904,18-08-2022,0 days 15:00:00,0 days 14:15:00,20-08-2022
10574350,08-04-2023,0 days 13:45:00,0 days 00:00:00,
10575014,07-03-2023,0 days 14:15:00,0 days 10:00:00,08-03-2023
10575125,21-08-2022,0 days 14:45:00,0 days 15:45:00,23-08-2022
10576371,20-08-2023,0 days 10:15:00,0 days 11:45:00,22-08-2023
10577198,09-05-2022,0 days 15:30:00,0 days 16:00:00,11-05-2022
10577326,11-08-2022,0 days 12:45:00,0 days 09:15:00,12-08-2022
10578075,26-10-2022,0 days 12:45:00,0 days 12:45:00,27-10-2022
10578957,19-03-2022,0 days 13:15:00,0 days 13:15:00,20-03-2022
10580409,04-08-2023,0 days 12:45:00,0 days 00:00:00,
10582186,17-09-2022,0 days 15:30:00,0 days 13:15:00,19-09-2022
10583081,21-05-2022,0 days 14:00:00,0 days 16:30:00,21-05-2022
10586267,03-02-2023,0 days 15:45:00,0 days 12:00:00,04-02-2023
10586580,07-04-2023,0 days 17:30:00,0 days 09:45:00,07-04-2023
10586896,28-11-2023,0 days 16:30:00,0 days 00:00:00,
10587760,,0 days 00:00:00,0 days 00:00:00,
10592144,23-03-2023,0 days 16:15:00,0 days 13:30:00,23-03-2023
10594718,02-11-2023,0 days 17:15:00,0 days 15:30:00,02-11-2023
10601091,22-09-2022,0 days 13:00:00,0 days 09:00:00,23-09-2022
10602514,17-10-2022,0 days 09:45:00,0 days 10:30:00,19-10-2022
10603962,29-06-2022,0 days 12:45:00,0 days 15:45:00,29-06-2022
10605180,16-02-2022,0 days 09:45:00,0 days 16:00:00,18-02-2022
10605250,02-12-2023,0 days 17:15:00,0 days 09:00:00,04-12-2023
10607098,26-02-2024,0 days 16:15:00,0 days 13:30:00,26-02-2024
10607151,04-12-2023,0 days 13:00:00,0 days 12:00:00,04-12-2023
10612649,,0 days 00:00:00,0 days 00:00:00,
10612742,16-10-2022,0 days 15:30:00,0 days 13:00:00,17-10-2022
10613380,30-01-2023,0 days 17:30:00,0 days 16:45:00,01-02-2023
10614102,17-09-2023,0 days 12:45:00,0 days 16:00:00,18-09-2023
10625592,15-02-2022,0 days 09:15:00,0 days 16:00:00,16-02-2022
10626634,30-04-2022,0 days 17:15:00,0 days 14:45:00,01-05-2022
10626681,29-11-2024,0 days 11:30:00,0 days 00:00:00,
10631827,05-10-2022,0 days 10:30:00,0 days 15:45:00,07-10-2022
10632635,29-11-2022,0 days 10:00:00,0 days 11:15:00,30-11-2022
10637150,,0 days 00:00:00,0 days 00:00:00,
10639392,23-03-2023,0 days 17:15:00,0 days 00:00:00,
10639741,,0 days 00:00:00,0 days 00:00:00,
10639872,05-09-2023,0 days 09:30:00,0 days 14:00:00,06-09-2023
10644042,05-06-2023,0 days 13:45:00,0 days 00:00:00,
10644252,,0 days 00:00:00,0 days 00:00:00,
10645951,,0 days 00:00:00,0 days 00:00:00,
10653733,,0 days 00:00:00,0 days 00:00:00,
10653759,30-10-2023,0 days 10:45:00,0 days 00:00:00,
10655679,12-02-2023,0 days 14:15:00,0 days 13:15:00,14-02-2023
10655788,14-04-2023,0 days 11:45:00,0 days 00:00:00,
10658013,18-12-2023,0 days 17:45:00,0 days 16:45:00,18-12-2023
10659287,07-07-2023,0 days 14:30:00,0 days 17:30:00,08-07-2023
10659341,,0 days 00:00:00,0 days 00:00:00,
10663677,,0 days 00:00:00,0 days 00:00:00,
10663960,,0 days 00:00:00,0 days 00:00:00,
10664287,12-09-2023,0 days 17:30:00,0 days 00:00:00,
10667294,14-12-2024,0 days 15:00:00,0 days 09:45:00,15-12-2024
10675093,30-11-2022,0 days 14:45:00,0 days 10:15:00,30-11-2022
10677408,07-05-2022,0 days 17:00:00,0 days 11:30:00,07-05-2022
10679379,03-05-2023,0 days 13:45:00,0 days 15:15:00,05-05-2023
10682953,22-10-2024,0 days 12:00:00,0 days 10:00:00,23-10-2024
10683656,11-03-2023,0 days 11:30:00,0 days 00:00:00,
10690967,17-07-2023,0 days 17:15:00,0 days 10:30:00,19-07-2023
10691813,14-07-2022,0 days 17:15:00,0 days 09:00:00,15-07-2022
10692467,12-09-2023,0 days 11:00:00,0 days 11:45:00,12-09-2023
10711249,25-02-2023,0 days 10:15:00,0 days 00:00:00,
10713499,18-02-2022,0 days 14:00:00,0 days 17:45:00,19-02-2022
10714575,19-10-2022,0 days 09:15:00,0 days 15:00:00,20-10-2022
10717488,11-03-2023,0 days 12:00:00,0 days 15:00:00,12-03-2023
10719539,28-08-2022,0 days 14:15:00,0 days 14:00:00,28-08-2022
10722347,19-03-2022,0 days 14:00:00,0 days 17:45:00,21-03-2022
10730396,,0 days 00:00:00,0 days 00:00:00,
10730722,15-01-2024,0 days 09:00:00,0 days 00:00:00,
10730778,31-03-2023,0 days 17:30:00,0 days 12:15:00,02-04-2023
10733014,02-02-2023,0 days 11:00:00,0 days 15:45:00,03-02-2023
10734097,29-11-2024,0 days 15:15:00,0 days 13:15:00,29-11-2024
10738103,,0 days 00:00:00,0 days 00:00:00,
10741133,05-05-2022,0 days 14:15:00,0 days 10:15:00,07-05-2022
10743465,06-08-2023,0 days 11:45:00,0 days 10:00:00,07-08-2023
10747553,05-01-2023,0 days 11:00:00,0 days 12:15:00,06-01-2023
10747830,29-10-2023,0 days 13:00:00,0 days 00:00:00,
10748340,28-06-2023,0 days 09:00:00,0 days 10:15:00,28-06-2023
10757677,27-01-2022,0 days 17:00:00,0 days 15:00:00,27-01-2022
10762007,12-02-2023,0 days 17:30:00,0 days 10:30:00,14-02-2023
10762307,,0 days 00:00:00,0 days 00:00:00,
10763139,02-02-2022,0 days 09:45:00,0 days 13:00:00,02-02-2022
10764034,02-09-2023,0 days 17:15:00,0 days 14:15:00,02-09-2023
10767842,25-12-2023,0 days 17:30:00,0 days 00:00:00,
10768339,,0 days 00:00:00,0 days 00:00:00,
10768681,10-06-2023,0 days 17:30:00,0 days 11:15:00,12-06-2023
10770682,03-07-2023,0 days 10:45:00,0 days 00:00:00,
10773834,16-12-2023,0 days 13:00:00,0 days 10:30:00,17-12-2023
10779279,20-11-2023,0 days 17:15:00,0 days 00:00:00,
10779628,,0 days 00:00:00,0 days 00:00:00,
10779834,,0 days 00:00:00,0 days 00:00:00,
10784780,24-01-2023,0 days 15:30:00,0 days 14:00:00,26-01-2023
10789557,30-12-2022,0 days 16:00:00,0 days 11:15:00,30-12-2022
10791740,07-05-2023,0 days 10:15:00,0 days 12:30:00,07-05-2023
10792100,05-06-2024,0 days 16:30:00,0 days 13:00:00,06-06-2024
10792239,09-01-2022,0 days 13:45:00,0 days 11:30:00,10-01-2022
10792403,08-01-2024,0 days 16:15:00,0 days 00:00:00,
10796939,19-11-2022,0 days 10:15:00,0 days 16:15:00,19-11-2022
10808854,,0 days 00:00:00,0 days 00:00:00,
10813932,16-06-2022,0 days 11:30:00,0 days 11:15:00,16-06-2022
10814861,14-06-2023,0 days 14:45:00,0 days 00:00:00,
10817357,10-08-2022,0 days 15:00:00,0 days 14:15:00,11-08-2022
10819505,,0 days 00:00:00,0 days 00:00:00,
10822385,02-03-2023,0 days 09:30:00,0 days 00:00:00,
10822924,,0 days 00:00:00,0 days 00:00:00,
10823039,10-09-2022,0 days 10:00:00,0 days 10:15:00,11-09-2022
10826216,21-08-2022,0 days 13:30:00,0 days 13:00:00,22-08-2022
10833667,,0 days 00:00:00,0 days 00:00:00,
10835120,28-02-2024,0 days 10:15:00,0 days 15:30:00,28-02-2024
10838457,27-01-2024,0 days 14:45:00,0 days 00:00:00,
10841472,,0 days 00:00:00,0 days 00:00:00,
10842074,21-12-2022,0 days 13:45:00,0 days 11:15:00,23-12-2022
10845735,10-02-2023,0 days 17:15:00,0 days 10:15:00,12-02-2023
10846190,18-03-2022,0 days 09:45:00,0 days 12:45:00,18-03-2022
10847304,19-07-2022,0 days 13:00:00,0 days 17:15:00,21-07-2022
10851257,11-03-2022,0 days 15:30:00,0 days 11:00:00,11-03-2022
10852226,07-02-2024,0 days 13:30:00,0 days 00:00:00,
10852813,19-07-2023,0 days 14:00:00,0 days 10:30:00,20-07-2023
10856822,,0 days 00:00:00,0 days 00:00:00,
10858472,19-04-2023,0 days 15:15:00,0 days 00:00:00,
10859143,09-05-2023,0 days 14:15:00,0 days 11:00:00,10-05-2023
10861645,16-11-2022,0 days 12:30:00,0 days 11:00:00,16-11-2022
10865811,12-01-2022,0 days 16:45:00,0 days 15:45:00,12-01-2022
10867056,13-11-2024,0 days 14:00:00,0 days 00:00:00,
10867233,,0 days 00:00:00,0 days 00:00:00,
10868817,12-02-2024,0 days 15:45:00,0 days 13:30:00,14-02-2024
10872248,08-03-2023,0 days 13:30:00,0 days 12:00:00,08-03-2023
10881835,09-10-2022,0 days 16:45:00,0 days 12:30:00,09-10-2022
10884169,,0 days 00:00:00,0 days 00:00:00,
10884189,19-04-2023,0 days 12:15:00,0 days 16:00:00,21-04-2023
10885420,14-10-2023,0 days 10:30:00,0 days 17:45:00,14-10-2023
10888112,,0 days 00:00:00,0 days 00:00:00,
10889695,,0 days 00:00:00,0 days 00:00:00,
10889761,16-08-2022,0 days 15:30:00,0 days 13:45:00,18-08-2022
10889793,22-03-2023,0 days 13:15:00,0 days 13:45:00,24-03-2023
10894575,29-03-2023,0 days 17:30:00,0 days 10:30:00,30-03-2023
10897001,05-08-2023,0 days 14:30:00,0 days 14:45:00,06-08-2023
10898691,,0 days 00:00:00,0 days 00:00:00,
10900128,,0 days 00:00:00,0 days 00:00:00,
10902958,29-05-2024,0 days 15:30:00,0 days 00:00:00,
10906671,,0 days 00:00:00,0 days 00:00:00,
10908300,17-08-2022,0 days 10:00:00,0 days 17:15:00,17-08-2022
10909370,08-08-2023,0 days 13:00:00,0 days 16:15:00,10-08-2023
10917585,24-06-2022,0 days 15:30:00,0 days 12:00:00,25-06-2022
10918529,,0 days 00:00:00,0 days 00:00:00,
10921962,08-03-2022,0 days 12:30:00,0 days 17:45:00,09-03-2022
10923377,24-02-2024,0 days 13:30:00,0 days 00:00:00,
10923862,,0 days 00:00:00,0 days 00:00:00,
10924446,,0 days 00:00:00,0 days 00:00:00,
10925591,11-10-2023,0 days 13:45:00,0 days 00:00:00,
10925601,,0 days 00:00:00,0 days 00:00:00,
10926856,20-09-2022,0 days 09:45:00,0 days 15:00:00,21-09-2022
10935138,,0 days 00:00:00,0 days 00:00:00,
10936049,24-01-2022,0 days 12:15:00,0 days 15:15:00,26-01-2022
10937251,17-01-2022,0 days 10:45:00,0 days 12:15:00,19-01-2022
10938593,,0 days 00:00:00,0 days 00:00:00,
10939720,11-10-2022,0 days 15:15:00,0 days 10:30:00,11-10-2022
10940923,,0 days 00:00:00,0 days 00:00:00,
10941440,18-05-2023,0 days 11:30:00,0 days 00:00:00,
10942255,28-05-2023,0 days 15:30:00,0 days 00:00:00,
10943881,19-07-2022,0 days 15:00:00,0 days 09:30:00,20-07-2022
10945273,20-08-2022,0 days 09:30:00,0 days 10:45:00,20-08-2022
10945339,23-10-2022,0 days 16:00:00,0 days 09:15:00,24-10-2022
10951333,14-03-2022,0 days 12:30:00,0 days 11:45:00,15-03-2022
10953635,05-07-2022,0 days 09:45:00,0 days 13:30:00,07-07-2022
10954878,31-08-2022,0 days 13:00:00,0 days 15:45:00,31-08-2022
10955005,22-04-2023,0 days 09:15:00,0 days 00:00:00,
10957697,21-07-2022,0 days 12:00:00,0 days 17:00:00,22-07-2022
10959112,05-01-2022,0 days 11:30:00,0 days 09:00:00,07-01-2022
10965138,04-01-2022,0 days 11:30:00,0 days 12:15:00,04-01-2022
10965569,21-07-2023,0 days 13:15:00,0 days 00:00:00,
10967131,,0 days 00:00:00,0 days 00:00:00,
10968781,06-08-2022,0 days 12:45:00,0 days 14:00:00,07-08-2022
10969411,,0 days 00:00:00,0 days 00:00:00,
10969945,27-03-2022,0 days 17:45:00,0 days 13:00:00,29-03-2022
10971584,09-10-2022,0 days 09:30:00,0 days 12:45:00,10-10-2022
10976029,06-01-2024,0 days 13:15:00,0 days 00:00:00,
10978481,14-01-2022,0 days 11:00:00,0 days 15:00:00,16-01-2022
10978598,,0 days 00:00:00,0 days 00:00:00,
10978632,24-09-2022,0 days 11:15:00,0 days 17:15:00,25-09-2022
10983894,25-02-2022,0 days 12:15:00,0 days 16:30:00,25-02-2022
