Invoice_No,OBD_No,Billing_Date,Billing_Amount,IOD_Date,Delivery_Days
8325821,72722957,2022-01-02,43.9279,2022-02-22,48
5626659,38133733,2022-01-02,38.8575,2022-02-16,42
2479157,58913280,2022-01-02,13.0822,2022-01-03,1
3997684,96467712,2022-01-02,47.5723,2022-02-24,49
3660212,55688461,2022-01-02,35.2052,2022-01-06,2
8856712,68349264,2022-01-02,56.2571,2022-02-05,32
6193526,82307513,2022-01-02,19.4287,2022-01-03,1
3077730,14480895,2022-01-02,52.069,2022-02-23,49
6102929,10959112,2022-01-02,37.7075,2022-02-10,34
5827041,62205029,2022-01-02,90.5005,2022-02-24,51
8365634,43946341,2022-01-02,33.7593,2022-02-03,31
3980174,83980790,2022-01-02,19.8485,2022-01-21,17
1879717,68224195,2022-01-02,24.8004,2022-02-05,31
8972898,59357131,2022-01-02,59.0538,2022-02-26,51
9352271,26212584,2022-01-02,56.7319,2022-02-25,49
2641024,16594707,2022-01-02,44.8276,2022-02-25,51
7350213,74270076,2022-01-02,75.8248,2022-02-22,51
7467813,21990808,2022-01-02,56.8505,2022-02-23,49
9433742,33994116,2022-01-02,16.8344,2022-01-03,0
3903155,40981524,2022-01-02,39.0804,2022-01-03,3
1502983,76780754,2022-01-02,5.52713,2022-01-03,1
8889191,24582780,2022-01-02,62.4969,2022-02-23,47
4347443,50407893,2022-01-02,16.9915,2022-01-03,4
2178503,99921354,2022-01-03,13.8338,2022-01-04,0
2277962,99522396,2022-01-03,34.8853,2022-02-25,51
6241256,81763739,2022-01-03,31.5836,2022-02-06,33
4563416,88322404,2022-01-03,16.8412,2022-02-18,43
5401559,75697427,2022-01-03,7.7715,2022-01-04,2
5732080,84034055,2022-01-03,13.423,2022-01-04,2
8202123,51268659,2022-01-03,8.49575,2022-01-04,1
2515064,68130665,2022-01-03,56.946,2022-02-25,51
8772420,99707782,2022-01-03,55.6194,2022-02-22,46
8775711,56817408,2022-01-03,7.0659,2022-01-04,2
3636248,53712198,2022-01-03,25.9083,2022-01-27,19
3920716,74413640,2022-01-03,62.4608,2022-02-27,52
6398116,67148245,2022-01-03,17.4426,2022-02-20,47
9093073,31168076,2022-01-03,43.1673,2022-02-26,51
5816353,20298660,2022-01-03,11.894,2022-01-04,1
2472730,97877765,2022-01-03,67.2639,2022-02-23,49
9650043,53376122,2022-01-03,50.5148,2022-02-24,50
1749662,67784773,2022-01-03,58.703,2022-02-20,46
3316651,68598223,2022-01-03,7.81911,2022-01-04,3
3382698,48798691,2022-01-03,54.5609,2022-02-22,47
8291853,66736039,2022-01-03,33.4376,2022-02-25,49
4990634,47811417,2022-01-03,44.8276,2022-02-26,52
8215793,20730923,2022-01-03,46.6395,2022-01-17,12
5140479,42528051,2022-01-03,20.2012,2022-01-04,3
9058330,73658690,2022-01-03,29.8493,2022-01-23,17
4930731,37812984,2022-01-03,1.12229,2022-01-04,2
7629251,17355748,2022-01-03,23.7881,2022-01-04,3
5129294,84845996,2022-01-03,21.7602,2022-02-04,32
3137318,98911031,2022-01-03,13.6278,2022-01-04,1
5295403,81697108,2022-01-03,19.0789,2022-01-04,2
2115004,66637408,2022-01-03,51.4687,2022-02-23,48
3796166,77186586,2022-01-03,18.8424,2022-01-04,1
1654617,94551648,2022-01-03,6.1149,2022-01-04,0
7766353,70859288,2022-01-04,21.1977,2022-02-07,32
4985579,82138140,2022-01-04,67.1609,2022-02-24,48
4852656,41050794,2022-01-04,54.1018,2022-02-24,49
4328927,10147197,2022-01-04,26.1644,2022-02-19,44
7279721,78569102,2022-01-04,42.9874,2022-02-23,48
9035909,97464128,2022-01-04,33.8939,2022-01-21,13
6729127,50734662,2022-01-04,11.0068,2022-01-05,3
6344568,46818748,2022-01-04,26.1644,2022-01-29,23
5175968,75633669,2022-01-04,63.4297,2022-02-26,50
1048293,94734606,2022-01-04,17.6994,2022-01-05,0
2228027,36151974,2022-01-04,31.7975,2022-01-27,22
6457141,94271587,2022-01-04,42.7433,2022-02-24,48
1825987,67912137,2022-01-04,11.7765,2022-01-05,1
7342010,35555635,2022-01-04,5.61145,2022-01-05,4
2154595,81227072,2022-01-04,34.693,2022-02-05,30
1300582,10553491,2022-01-04,10.103,2022-01-05,1
7630696,87055458,2022-01-04,24.2587,2022-01-21,16
9070640,29694380,2022-01-04,1.31128,2022-01-05,1
7576872,94197247,2022-01-04,30.5847,2022-01-05,1
5054579,66556889,2022-01-04,11.0002,2022-01-05,3
2994518,67461593,2022-01-04,22.3167,2022-01-06,2
8046913,79901984,2022-01-04,43.9279,2022-02-25,47
8631174,30252188,2022-01-04,32.3732,2022-02-04,28
1662107,80915708,2022-01-04,12.6309,2022-01-05,1
3849881,33517077,2022-01-04,21.3235,2022-01-05,2
9441757,24853741,2022-01-04,47.9474,2022-02-23,46
6080483,46866075,2022-01-04,58.0974,2022-02-26,50
2316185,26731360,2022-01-04,6.2172,2022-01-05,2
1008452,16877537,2022-01-04,23.5681,2022-01-05,3
7374774,44114482,2022-01-04,48.481,2022-02-25,47
2360672,12320094,2022-01-04,98.5507,2022-02-26,53
1749285,61762834,2022-01-04,42.7433,2022-02-24,48
9895187,52980628,2022-01-04,3.93384,2022-01-05,1
4290911,76291096,2022-01-04,55.9548,2022-02-28,50
7350865,57473757,2022-01-04,36.0602,2022-02-28,53
9731339,78451296,2022-01-04,86.3094,2022-02-27,51
2026875,12426412,2022-01-04,35.2052,2022-02-06,31
5148624,19149798,2022-01-04,48.1481,2022-02-28,50
8944257,80250319,2022-01-04,25.4872,2022-01-05,0
8828476,49167440,2022-01-04,38.2444,2022-02-15,39
1199105,47244689,2022-01-05,91.7541,2022-02-25,47
2400837,73715179,2022-01-05,64.3089,2022-02-27,49
6252062,29839357,2022-01-05,35.3295,2022-01-08,1
7786479,36480587,2022-01-05,5.09745,2022-01-06,2
9087856,59759664,2022-01-05,11.894,2022-01-06,0
2803930,53858035,2022-01-05,37.1107,2022-01-18,13
4180814,44303825,2022-01-05,11.0002,2022-01-06,1
4699210,42084122,2022-01-05,31.5453,2022-01-30,23
7091887,75094347,2022-01-05,57.0409,2022-02-24,45
8207436,41703306,2022-01-05,31.5511,2022-01-27,22
8181520,94171058,2022-01-05,36.6894,2022-02-04,28
7500351,64703681,2022-01-05,49.4613,2022-03-01,51
1147701,25397719,2022-01-05,18.6558,2022-01-06,3
8769633,20570029,2022-01-05,46.4878,2022-02-25,49
3825325,16343857,2022-01-05,8.52332,2022-01-06,0
9398403,52877063,2022-01-05,5.78676,2022-01-06,0
4756912,16122001,2022-01-05,36.0602,2022-02-28,51
9254739,29764336,2022-01-05,32.2405,2022-01-11,2
2136890,23900206,2022-01-05,59.4814,2022-02-25,50
1482819,81600765,2022-01-05,20.983,2022-01-09,2
1084130,31258513,2022-01-05,21.3235,2022-01-06,1
3224516,75523260,2022-01-05,52.2988,2022-02-28,52
9988463,69588589,2022-01-05,42.1029,2022-02-24,46
4189417,80090170,2022-01-05,4.5426,2022-01-06,2
5736428,74216857,2022-01-05,54.3728,2022-02-14,40
9690383,54242207,2022-01-05,13.5932,2022-01-06,2
9851473,42282510,2022-01-05,10.8265,2022-01-06,2
1873312,28373284,2022-01-05,13.8517,2022-01-06,3
1426542,69586290,2022-01-06,34.1946,2022-01-21,13
9511546,78131950,2022-01-06,1.53908,2022-01-07,1
8154633,37392942,2022-01-06,53.3868,2022-02-27,49
4520289,98711501,2022-01-06,17.9566,2022-01-07,2
9541950,20581831,2022-01-06,9.23448,2022-01-07,3
5876441,40640252,2022-01-06,45.5358,2022-03-01,51
9227322,22522836,2022-01-06,41.9756,2022-01-24,14
7601346,56799163,2022-01-06,45.7117,2022-03-01,51
2180827,30970686,2022-01-06,40.9,2022-02-28,52
7725253,51591370,2022-01-06,29.8493,2022-01-30,22
1695371,67904488,2022-01-06,31.7149,2022-01-29,19
6510598,12130654,2022-01-06,6.64112,2022-01-07,2
7120355,90275738,2022-01-06,0.65564,2022-01-07,0
2408761,33163997,2022-01-06,69.582,2022-02-28,51
8608176,62033611,2022-01-06,33.1628,2022-02-23,45
9254549,47936160,2022-01-06,49.7442,2022-03-01,50
3313772,36482710,2022-01-06,10.8801,2022-01-07,2
4518479,56092741,2022-01-06,48.5174,2022-02-28,50
1327913,16184377,2022-01-06,40.11,2022-01-20,12
8132769,39372360,2022-01-06,28.4252,2022-01-16,8
5542460,75910245,2022-01-06,42.7433,2022-03-02,53
3467548,88456512,2022-01-06,15.0367,2022-01-07,2
3715044,11926705,2022-01-06,96.8515,2022-02-26,48
8925731,19591420,2022-01-06,35.5472,2022-02-21,45
1153218,58617120,2022-01-06,42.3247,2022-02-26,46
3767799,67225399,2022-01-06,14.0536,2022-01-07,1
3745329,88523104,2022-01-06,12.4002,2022-01-07,1
5041658,42662689,2022-01-06,2.30862,2022-01-07,4
1715141,66505154,2022-01-06,43.4274,2022-02-27,48
1587080,26116397,2022-01-06,57.5091,2022-03-01,50
9225346,69533928,2022-01-06,7.21764,2022-01-07,0
4394393,28687147,2022-01-06,44.6333,2022-03-01,51
3630064,68658956,2022-01-06,19.247,2022-02-23,48
1377352,40315274,2022-01-06,57.0409,2022-03-02,53
4604353,70826614,2022-01-07,52.5881,2022-02-15,36
2580209,20999949,2022-01-07,74.9529,2022-03-03,51
9802287,40850867,2022-01-07,35.7489,2022-02-09,30
5449671,48925256,2022-01-07,84.1718,2022-03-01,49
7586014,78548059,2022-01-07,23.2439,2022-01-18,8
9559668,11632815,2022-01-07,72.6816,2022-03-01,50
2709159,10792239,2022-01-07,25.57,2022-01-24,14
1447035,65374574,2022-01-07,29.1795,2022-02-05,26
8884485,15623260,2022-01-07,20.3898,2022-01-08,4
7339309,62159818,2022-01-07,13.7684,2022-01-08,1
3278556,35847705,2022-01-07,21.5836,2022-02-06,27
1358384,99563301,2022-01-07,51.3035,2022-03-03,53
3134259,14307663,2022-01-07,35.2052,2022-02-19,43
4664999,88518976,2022-01-07,57.2797,2022-02-27,48
7236805,68480515,2022-01-07,41.9756,2022-01-31,21
4262330,75829146,2022-01-07,24.0917,2022-01-12,3
1784532,82378625,2022-01-07,26.4647,2022-02-23,47
1335889,44518787,2022-01-07,53.3755,2022-01-31,21
7956154,83855692,2022-01-07,10.1006,2022-01-08,0
1626854,60357475,2022-01-07,27.5369,2022-01-09,0
4033999,90542459,2022-01-07,58.7658,2022-03-03,52
6780177,22976137,2022-01-07,56.1764,2022-03-03,54
9605960,89923159,2022-01-07,33.4174,2022-01-09,1
2684615,24075789,2022-01-07,58.8825,2022-03-03,50
5710588,76065913,2022-01-07,3.38468,2022-01-08,0
4897397,25367948,2022-01-07,19.4619,2022-01-08,3
5094241,85223845,2022-01-07,70.9328,2022-03-03,53
6296376,81169409,2022-01-07,32.9742,2022-01-30,20
3980610,80628659,2022-01-07,3.94795,2022-01-08,0
4576875,37220279,2022-01-07,60.0781,2022-02-26,47
9012989,50318100,2022-01-07,31.5511,2022-01-23,12
4331566,11626331,2022-01-07,1.31128,2022-01-08,3
1143235,44572484,2022-01-07,52.7476,2022-01-10,3
5353234,41524851,2022-01-07,44.5835,2022-02-28,48
4716994,27955301,2022-01-07,18.6157,2022-01-08,2
9509707,34634338,2022-01-07,39.0804,2022-01-08,0
1832974,14888134,2022-01-07,24.8004,2022-01-19,11
1682046,19447334,2022-01-07,33.2056,2022-01-25,16
1398218,83010869,2022-01-07,110.445,2022-02-28,50
6717708,17305854,2022-01-07,9.8346,2022-01-08,2
4717034,97311360,2022-01-07,53.169,2022-03-01,51
3425111,75141955,2022-01-07,33.0205,2022-02-03,25
3402708,96590284,2022-01-07,16.9299,2022-01-08,0
4882711,39766168,2022-01-07,41.0428,2022-01-22,12
3970450,65781202,2022-01-07,51.0315,2022-03-01,50
1720769,58518869,2022-01-07,4.61724,2022-01-08,4
3708302,11655896,2022-01-08,81.9272,2022-02-28,48
9175462,68808057,2022-01-08,66.2281,2022-02-28,48
8929095,29027791,2022-01-08,7.8959,2022-01-09,3
2571975,34136369,2022-01-08,9.92016,2022-01-09,3
8516010,10261534,2022-01-08,56.5272,2022-02-27,48
5069835,17742362,2022-01-08,8.56086,2022-01-09,2
3094224,32537795,2022-01-08,30.7821,2022-02-08,30
3066108,69876930,2022-01-08,32.1891,2022-01-18,8
8255986,63271125,2022-01-08,15.7727,2022-01-09,3
8533636,33203422,2022-01-08,27.0509,2022-02-22,42
5015681,53032827,2022-01-08,53.3868,2022-02-27,50
8868140,86503390,2022-01-08,43.8638,2022-03-03,51
2370851,50042087,2022-01-08,53.7342,2022-03-03,51
8196632,54345479,2022-01-08,62.4969,2022-03-02,52
7792383,54041845,2022-01-08,44.5088,2022-03-02,52
1042116,56641580,2022-01-08,1.80441,2022-01-09,1
7922123,48301522,2022-01-08,7.33788,2022-01-09,1
3670591,41098826,2022-01-08,41.9756,2022-02-23,46
3983278,50316208,2022-01-08,24.4596,2022-01-09,1
9620008,16737139,2022-01-08,124.038,2022-02-27,48
9115888,60536025,2022-01-08,31.086,2022-02-12,34
5340101,42392076,2022-01-08,37.9003,2022-01-26,16
4263930,18790367,2022-01-08,62.8277,2022-03-02,51
7948213,53804537,2022-01-08,7.46232,2022-01-09,2
1396531,71452419,2022-01-08,86.3094,2022-02-27,45
6433369,64745091,2022-01-08,26.5645,2022-02-23,43
9829898,38287297,2022-01-08,40.9,2022-03-03,51
4718220,98202384,2022-01-08,13.3467,2022-01-09,3
6562703,74418331,2022-01-08,98.5507,2022-02-28,49
8357163,74532898,2022-01-08,50.9745,2022-01-24,13
1394043,83514512,2022-01-08,20.2059,2022-01-18,8
3451160,12381057,2022-01-08,53.129,2022-02-27,47
4610564,31688988,2022-01-08,49.0779,2022-03-02,50
1361312,86844752,2022-01-08,16.0772,2022-01-09,0
6334295,47575488,2022-01-08,23.3145,2022-02-25,44
5149408,37708045,2022-01-08,38.477,2022-02-05,24
8637240,86668481,2022-01-08,12.4002,2022-01-09,2
3771957,51576275,2022-01-08,28.2636,2022-01-25,17
8129809,16793745,2022-01-09,33.7593,2022-02-11,29
9596189,31149385,2022-01-09,36.6894,2022-01-30,19
3682828,70917200,2022-01-09,33.0902,2022-01-16,3
8998249,56203689,2022-01-09,51.2542,2022-03-05,54
8317039,55462016,2022-01-09,57.5091,2022-03-05,53
8679826,97726411,2022-01-09,40.3583,2022-02-02,23
9936647,54836082,2022-01-09,18.6157,2022-01-10,4
9948337,44337077,2022-01-09,38.8575,2022-02-16,35
2493042,98144918,2022-01-09,16.8344,2022-01-10,0
2006646,96228754,2022-01-09,6.92586,2022-01-10,2
4971326,92110921,2022-01-09,9.62352,2022-01-10,0
8069865,19242243,2022-01-09,3.00735,2022-01-10,4
4452702,24150695,2022-01-09,6.92586,2022-01-10,2
4910352,62472632,2022-01-09,27.6357,2022-02-13,32
1214441,81205117,2022-01-09,41.5247,2022-02-25,46
8935246,30803857,2022-01-09,51.3652,2022-01-24,11
5546998,17485586,2022-01-09,5.90076,2022-01-10,3
6677240,21403835,2022-01-09,8.6361,2022-01-10,3
8020412,65717462,2022-01-09,23.2366,2022-01-10,3
2697504,88925919,2022-01-09,6.0147,2022-01-10,1
5583613,91210044,2022-01-09,12.6334,2022-01-10,4
2884343,74287772,2022-01-09,52.8462,2022-03-01,50
1098746,79641118,2022-01-09,52.3287,2022-02-28,49
6973875,52461787,2022-01-09,22.3167,2022-01-20,9
4943509,36146725,2022-01-09,129.135,2022-03-02,50
7932407,23646357,2022-01-09,23.6877,2022-01-24,12
4043121,51272264,2022-01-09,37.3032,2022-02-04,23
3645444,93034235,2022-01-09,22.1085,2022-01-29,16
4064692,22865296,2022-01-09,98.5507,2022-03-04,51
4849318,54429299,2022-01-09,31.2764,2022-02-28,49
3584093,45255913,2022-01-09,10.7736,2022-01-10,1
6732692,55605194,2022-01-09,50.5031,2022-01-16,5
3679707,75797744,2022-01-09,27.1864,2022-01-10,2
4239558,13404379,2022-01-09,25.9083,2022-02-14,35
5809835,12300840,2022-01-09,24.0588,2022-01-12,2
3553842,77419542,2022-01-09,53.9591,2022-03-01,50
1489768,46879169,2022-01-09,34.0933,2022-03-04,53
6394860,77705978,2022-01-09,29.5038,2022-02-16,36
8254557,33608983,2022-01-09,31.3083,2022-01-10,2
3584462,65596056,2022-01-09,43.7693,2022-01-22,12
1680765,63025581,2022-01-09,42.9874,2022-03-01,47
8358291,52510825,2022-01-09,103.648,2022-03-02,52
7390274,71980395,2022-01-09,78.1609,2022-02-02,22
1085400,67756952,2022-01-09,40.7796,2022-01-10,1
8611033,27231262,2022-01-09,6.52953,2022-01-10,0
3676026,25032184,2022-01-09,108.746,2022-03-05,52
8321917,65261046,2022-01-10,42.3247,2022-03-03,47
9652424,54209953,2022-01-10,11.3565,2022-01-11,3
7582395,61283834,2022-01-10,2.24458,2022-01-11,3
7082477,51519492,2022-01-10,78.5603,2022-03-03,48
3254876,96747374,2022-01-10,32.6477,2022-01-23,10
9853023,56654278,2022-01-10,27.2804,2022-01-13,3
2296999,26203862,2022-01-10,49.4613,2022-03-03,50
4229005,48177955,2022-01-10,3.66894,2022-01-11,1
5735492,56790372,2022-01-10,52.6736,2022-02-22,40
1100313,96219997,2022-01-10,55.9674,2022-03-04,50
5742531,50060760,2022-01-10,4.21029,2022-01-11,1
8657731,15974522,2022-01-10,86.3094,2022-03-05,53
7832506,82656408,2022-01-10,25.6271,2022-01-13,1
5839748,37004790,2022-01-10,22.9474,2022-02-18,36
2245874,18140120,2022-01-10,98.5507,2022-03-06,53
6328867,59335658,2022-01-10,47.2061,2022-03-05,52
9865441,11951278,2022-01-10,29.3515,2022-01-11,0
8719030,78542740,2022-01-10,39.7477,2022-02-12,31
5984041,53983693,2022-01-10,6.0147,2022-01-11,1
1083198,80841442,2022-01-10,5.24512,2022-01-11,0
2674651,49312528,2022-01-10,85.6086,2022-03-03,48
1211648,23891054,2022-01-10,45.4674,2022-03-06,52
5995627,82883547,2022-01-10,55.3876,2022-03-03,50
6394567,11888722,2022-01-10,11.4279,2022-01-11,3
3725444,20047133,2022-01-10,12.0294,2022-01-11,1
4778984,97286750,2022-01-10,32.2405,2022-02-01,17
5491003,67085807,2022-01-10,59.521,2022-03-04,51
1922485,89057775,2022-01-10,92.9465,2022-03-05,51
5538377,15602379,2022-01-10,28.9165,2022-02-15,32
9921943,57676501,2022-01-10,41.9756,2022-01-11,2
7029753,30858791,2022-01-10,32.2839,2022-01-11,4
1312392,98817918,2022-01-10,55.9674,2022-03-03,51
1645088,17391979,2022-01-10,4.58948,2022-01-11,2
1397090,31662928,2022-01-10,72.9489,2022-03-05,51
6215882,10865811,2022-01-10,59.2319,2022-03-04,51
6628192,98004576,2022-01-10,55.3876,2022-03-02,48
5393393,64621853,2022-01-10,28.9165,2022-02-23,40
2807152,89234941,2022-01-10,18.3447,2022-01-11,4
8991562,35873158,2022-01-10,11.6573,2022-01-11,2
3489044,32679569,2022-01-10,34.5132,2022-01-31,18
8967629,32648177,2022-01-10,110.445,2022-03-01,46
1548510,53679044,2022-01-10,33.4174,2022-01-25,14
7851007,11763747,2022-01-10,6.92586,2022-01-11,2
8374192,52870052,2022-01-10,64.5677,2022-02-20,36
3948175,48785862,2022-01-10,50.6385,2022-03-01,47
8867104,66482582,2022-01-10,25.1853,2022-01-23,9
7162857,83076970,2022-01-10,16.8412,2022-01-24,13
7097329,78149194,2022-01-10,4.48916,2022-01-11,2
3998851,70971798,2022-01-10,54.3728,2022-01-26,13
7237496,63949988,2022-01-11,10.103,2022-01-12,3
6425946,87311859,2022-01-11,64.8179,2022-03-03,51
4190645,87174040,2022-01-11,79.4937,2022-03-07,54
2273983,36658273,2022-01-11,58.4297,2022-03-05,49
6387621,41522123,2022-01-11,20.7776,2022-02-06,25
1542760,79987656,2022-01-11,30.794,2022-02-03,21
6994162,22056566,2022-01-11,1.69234,2022-01-12,2
1070189,25728855,2022-01-11,30.675,2022-03-05,51
5220919,60509993,2022-01-11,19.5886,2022-01-12,2
2859195,25158518,2022-01-11,30.6189,2022-01-31,17
4058136,63150482,2022-01-11,42.3247,2022-03-04,51
8517924,12625045,2022-01-11,84.0381,2022-03-02,48
3168279,16099655,2022-01-11,46.2941,2022-03-05,51
8789960,93061499,2022-01-11,56.2571,2022-01-17,1
4475290,63910218,2022-01-11,3.93384,2022-01-12,1
9953825,17503932,2022-01-11,48.7741,2022-03-04,51
7192456,80793373,2022-01-11,52.069,2022-03-06,52
6790539,57964863,2022-01-11,56.2142,2022-03-05,51
9314204,71685210,2022-01-11,12.4572,2022-01-12,3
1782776,89359303,2022-01-11,15.7727,2022-01-12,1
3412542,39456096,2022-01-11,51.2542,2022-03-05,53
9244976,39363653,2022-01-11,38.8575,2022-02-21,40
9830874,27834596,2022-01-11,61.1743,2022-03-02,49
1925595,56488366,2022-01-11,36.6894,2022-02-18,34
3274016,19405769,2022-01-11,31.8631,2022-02-20,35
8840110,19768149,2022-01-11,54.9922,2022-02-10,29
6939158,72903261,2022-01-11,54.957,2022-03-03,49
1512169,43928469,2022-01-11,41.3053,2022-03-07,53
6508963,62874708,2022-01-11,1.31128,2022-01-12,4
6922598,31903444,2022-01-11,56.2571,2022-01-14,0
1852171,86805332,2022-01-11,82.9025,2022-03-02,45
8935506,87037380,2022-01-11,48.481,2022-03-03,49
9757456,60182714,2022-01-11,35.5316,2022-02-27,45
8472447,71817885,2022-01-11,57.8676,2022-03-06,50
1111126,82675403,2022-01-11,30.8151,2022-03-02,46
8976936,34902601,2022-01-11,60.3476,2022-03-05,50
2568722,56833660,2022-01-11,23.2366,2022-01-12,1
8723303,65044235,2022-01-11,19.6275,2022-01-12,0
3576374,77284894,2022-01-11,41.5552,2022-03-03,48
3379573,11709239,2022-01-11,33.4376,2022-03-03,50
8506416,29617586,2022-01-12,73.3788,2022-03-05,50
9557119,71135583,2022-01-12,20.7776,2022-02-13,29
3042377,98756599,2022-01-12,43.9279,2022-03-07,51
3128585,16126461,2022-01-12,84.0381,2022-03-08,53
3696717,15599529,2022-01-12,19.8485,2022-01-28,11
8088983,59423803,2022-01-12,33.9524,2022-01-25,12
9809311,82150950,2022-01-12,63.0906,2022-03-08,51
9549183,73433282,2022-01-12,52.9025,2022-03-08,55
9888812,41966313,2022-01-12,48.2585,2022-01-15,2
6976827,68602595,2022-01-12,15.7727,2022-01-13,4
4481895,29182726,2022-01-12,12.4922,2022-01-13,3
1915734,39561959,2022-01-12,50.6385,2022-03-06,51
2325985,56263442,2022-01-12,62.4969,2022-03-06,53
8561975,75585722,2022-01-12,61.149,2022-02-14,31
1394795,17218512,2022-01-12,54.4005,2022-03-06,49
2847083,11072192,2022-01-12,42.3247,2022-03-04,49
1972049,37659258,2022-01-12,60.6037,2022-03-03,47
9178771,75664009,2022-01-12,35.7489,2022-01-21,5
5496732,34975977,2022-01-12,32.1264,2022-02-04,21
8936971,17524922,2022-01-12,50.5338,2022-03-07,54
4008244,44275271,2022-01-12,3.2782,2022-01-13,3
2922342,21541453,2022-01-12,8.42058,2022-01-13,2
8930103,42614537,2022-01-12,15.7121,2022-01-13,4
1524686,37122588,2022-01-12,85.294,2022-03-05,47
8960987,17950318,2022-01-12,13.0591,2022-01-13,0
8758202,36610839,2022-01-12,27.5369,2022-02-03,19
3458755,67135430,2022-01-12,44.5088,2022-03-05,50
8018710,36375893,2022-01-12,56.2571,2022-02-25,43
2903351,13478029,2022-01-12,52.5881,2022-02-11,29
2012515,87384890,2022-01-12,36.5262,2022-02-05,20
8422596,61983909,2022-01-12,78.3598,2022-03-08,55
8753549,90470634,2022-01-12,56.0719,2022-03-01,44
7959256,67118172,2022-01-12,8.56086,2022-01-13,4
9023486,68445577,2022-01-12,58.4297,2022-03-03,48
7916943,78002009,2022-01-12,81.7668,2022-03-08,52
5985521,14288227,2022-01-12,25.9083,2022-02-04,21
9222379,35471281,2022-01-12,33.0672,2022-02-26,42
7473301,16018949,2022-01-13,21.3235,2022-01-14,0
4884887,10484377,2022-01-13,31.8631,2022-02-24,39
5127225,55896619,2022-01-13,81.9397,2022-03-09,53
9469764,42362235,2022-01-13,42.1607,2022-03-06,50
4720446,77600346,2022-01-13,31.7975,2022-01-23,6
8074495,73237984,2022-01-13,45.7117,2022-03-04,49
4299424,68376344,2022-01-13,16.6028,2022-01-14,3
5367602,19362037,2022-01-13,21.4542,2022-01-14,1
4125422,83142099,2022-01-13,13.8517,2022-01-14,4
3821731,42905017,2022-01-13,18.9502,2022-01-14,1
9670766,64471544,2022-01-13,30.8151,2022-02-06,19
2681348,97555411,2022-01-13,0.78959,2022-01-14,1
7707613,13230673,2022-01-13,21.5774,2022-01-14,1
2559402,66175091,2022-01-13,19.7397,2022-01-14,1
